Title,Company,Location,Apply
UI/UX Designer (internship),MindPal,"San Francisco, CA",https://www.linkedin.com/jobs/view/ui-ux-designer-internship-at-mindpal-3708510300?refId=JGdcsNaMho4AoDZYxh6CNQ%3D%3D&trackingId=G9Xc4BralkDph%2BJa0UoiZg%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
UI/UX Designer (internship),MindPal,"Los Angeles, CA",https://www.linkedin.com/jobs/view/ui-ux-designer-internship-at-mindpal-3708507730?refId=JGdcsNaMho4AoDZYxh6CNQ%3D%3D&trackingId=qQV1NpxZgC3RqdkjzoVP1w%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
UI/UX Designer (internship),MindPal,"San Jose, CA",https://www.linkedin.com/jobs/view/ui-ux-designer-internship-at-mindpal-3708509585?refId=JGdcsNaMho4AoDZYxh6CNQ%3D%3D&trackingId=KpxeUnpHhs4JigIQsqPRTg%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
UI/UX Designer (internship),MindPal,"Chicago, IL",https://www.linkedin.com/jobs/view/ui-ux-designer-internship-at-mindpal-3708509715?refId=JGdcsNaMho4AoDZYxh6CNQ%3D%3D&trackingId=mwIsC3qCcT80VqN%2BJYNYpw%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
UI/UX Designer (internship),MindPal,"Tampa, FL",https://www.linkedin.com/jobs/view/ui-ux-designer-internship-at-mindpal-3708511408?refId=JGdcsNaMho4AoDZYxh6CNQ%3D%3D&trackingId=msxxIg6L7G20Ko0A7dkB%2Fg%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
UI/UX Designer (internship),MindPal,"Boston, MA",https://www.linkedin.com/jobs/view/ui-ux-designer-internship-at-mindpal-3708506862?refId=JGdcsNaMho4AoDZYxh6CNQ%3D%3D&trackingId=WEtVujX51KwU%2BdD2N8lDlg%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
UI/UX Designer (internship),MindPal,"Seattle, WA",https://www.linkedin.com/jobs/view/ui-ux-designer-internship-at-mindpal-3708510339?refId=JGdcsNaMho4AoDZYxh6CNQ%3D%3D&trackingId=1dRrbTPJ0j8aXnaUjq6IaA%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
UI/UX Designer,AddSource,United States,https://www.linkedin.com/jobs/view/ui-ux-designer-at-addsource-3716015218?refId=JGdcsNaMho4AoDZYxh6CNQ%3D%3D&trackingId=VEZ%2FMIKGhgZ219%2FhMPAyCw%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
UI/UX Designer (internship),MindPal,"Atlanta, GA",https://www.linkedin.com/jobs/view/ui-ux-designer-internship-at-mindpal-3708506982?refId=JGdcsNaMho4AoDZYxh6CNQ%3D%3D&trackingId=GogO%2F65B%2Bi4%2BeuS%2FrZ9hOA%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card
UI/UX Designer (internship),MindPal,"Austin, TX",https://www.linkedin.com/jobs/view/ui-ux-designer-internship-at-mindpal-3708509633?refId=JGdcsNaMho4AoDZYxh6CNQ%3D%3D&trackingId=dEJQSoFiPLaZMbH8rALDug%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card
